title	source	zone	finance_module	ai_topic	level	language	score	teaching_value	suggested_use	url	last_verified	tags
BS Operations Research: Financial Engineering Track	Columbia University · IEOR	顶尖高校课程	本科金融工程培养体系	AI / Algorithmic Trading / Deep Learning	进阶	English	94	本科培养方案把优化、概率、金融工程与AI应用、算法交易、深度学习等方向衔接起来，适合本科课程体系对标。	用于比较本科《金融工程》核心课程与AI选修模块的层次关系。	https://ieor.columbia.edu/content/operations-research-financial-engineering-bsorfe	2026-09-11	Columbia;undergraduate;curriculum;AI
MSCF Curriculum	Carnegie Mellon University · MSCF	顶尖高校课程	金融工程培养体系	Data Science / Machine Learning	进阶	English	97	系统覆盖随机过程、衍生品、风险、金融计算、金融数据科学和机器学习，是金融工程专业课程设计的重要标杆。	用于课程模块对标、先修关系设计和AI内容分层。	https://www.cmu.edu/mscf/academics/curriculum	2026-09-11	CMU;MSCF;curriculum;machine learning
MSCF Data Science Curriculum	Carnegie Mellon University · MSCF	顶尖高校课程	金融数据与量化研究	Machine Learning / Deep Learning / NLP	高级	English	96	把数据科学、机器学习、深度学习和自然语言处理嵌入量化金融培养链条，强调金融场景中的建模实践。	用于设计AI专题、金融文本分析和机器学习实验模块。	https://www.cmu.edu/mscf/academics/data-science-curriculum	2026-09-11	CMU;data science;NLP;deep learning
MSc Mathematical and Computational Finance	University of Oxford · Mathematical Institute	顶尖高校课程	数理金融 / 计算金融	Machine Learning / Python / PyTorch	高级	English	97	将随机微积分、衍生品、Monte Carlo、PDE、优化与机器学习、Python/PyTorch结合，体现计算金融与AI融合。	用于设计数值定价、计算实验和机器学习进阶路线。	https://www.maths.ox.ac.uk/study-here/postgraduate-study/msc-mathematical-and-computational-finance	2026-09-11	Oxford;computational finance;PyTorch;derivatives
Machine Learning in Finance & Insurance	ETH Zürich · Department of Mathematics	顶尖高校课程	金融建模 / 定价 / 保险	Machine Learning / XGBoost / Neural Networks	高级	English	96	围绕金融和保险问题讲授机器学习，并涉及定价、对冲、树模型和神经网络，金融场景导向很强。	用于机器学习金融应用专题和教师进阶自学。	https://people.math.ethz.ch/~patrickc/mlfi/	2026-09-11	ETH;machine learning;hedging;XGBoost
Machine Learning for Finance & Complex Systems	ETH Zürich · Department of Mathematics	顶尖高校课程	量化金融 / 复杂系统	Deep Learning / RL / Transformers	高级	English	97	覆盖PyTorch、集成学习、强化学习、LSTM、注意力与Transformer，并连接资产配置等金融问题。	用于深度学习、强化学习和大模型前置知识的进阶专题。	https://people.math.ethz.ch/~patrickc/mlfc/	2026-09-11	ETH;PyTorch;reinforcement learning;transformer
ORFE Graduate Courses	Princeton University · ORFE	顶尖高校课程	金融工程 / 金融数据	Deep Learning / Financial Data	高级	English	95	研究生课程体系将资产定价、衍生品、统计金融和深度学习等内容置于统一的ORFE框架。	用于课程模块横向对标及教师选择进阶主题。	https://orfe.princeton.edu/graduate/courses	2026-09-11	Princeton;ORFE;financial data;deep learning
Introduction to Financial Mathematics	Princeton University · ORFE	顶尖高校课程	金融数学 / 衍生品定价	Computational Finance	进阶	English	95	从无套利、风险中性定价推进到Black–Scholes、Heston、校准、信用和利率模型，适合金融工程主干课程对标。	用于核对衍生品定价知识链条及进阶内容取舍。	https://orfe.princeton.edu/courses/spring-2026/introduction-financial-mathematics	2026-09-11	Princeton;Black-Scholes;Heston;calibration
Master of Financial Engineering Curriculum	UC Berkeley · Haas	顶尖高校课程	金融工程 / 金融数据科学	Machine Learning / Deep Learning / Python	高级	English	97	课程把固定收益、衍生品、量化方法与Python金融数据科学、机器学习和深度学习结合，实践导向突出。	用于设计金融数据科学模块、案例和项目式教学。	https://mfe.haas.berkeley.edu/academics/curriculum	2026-09-11	Berkeley;MFE;Python;financial data science
MSc Risk Management & Financial Engineering	Imperial College London · Business School	顶尖高校课程	风险管理 / 金融工程	Machine Learning / Generative AI	高级	English	96	课程将金融工程、风险管理、Python、机器学习、系统交易与生成式AI等前沿内容并置。	用于风险管理与AI、系统交易、生成式AI专题设计。	https://www.imperial.ac.uk/study/courses/postgraduate-taught/2026/risk-management-financial-engineering/	2026-09-11	Imperial;risk management;machine learning;generative AI
