title	source	zone	finance_module	ai_topic	level	language	score	teaching_value	suggested_use	url	last_verified	tags
py_vollib	vollib Project	金融工程AI工具箱	期权定价 / 隐含波动率	Black-Scholes / Greeks	进阶	English	88	轻量级期权定价和Greeks工具便于进行Black–Scholes、Black模型和隐含波动率实验。	用于期权定价结果校验和Greeks数值实验。	https://github.com/vollib/py_vollib	2026-09-11	py_vollib;Black-Scholes;Greeks;implied volatility
NumPy Quickstart	NumPy	Python / Jupyter实验库	金融计算基础	Scientific Computing	入门	English	88	官方快速入门覆盖数组、形状、索引、广播和基本运算，适合金融计算Python先修。	用于金融计算实验课前置自学和课堂演示。	https://numpy.org/doc/stable/user/quickstart	2026-09-11	NumPy;quickstart;array
pandas Time Series	pandas	Python / Jupyter实验库	金融时间序列	Data Analysis	进阶	English	91	官方时间序列指南覆盖日期索引、频率、重采样和滚动处理，和金融行情数据高度匹配。	用于收益率、滚动统计、频率转换和行情清洗实验。	https://pandas.pydata.org/docs/user_guide/timeseries.html	2026-09-11	pandas;time series;resampling
pandas Getting Started Tutorials	pandas	Python / Jupyter实验库	金融数据处理	Data Analysis	入门	English	89	官方教程以可执行示例介绍DataFrame读写、筛选、统计和可视化。	用于Python金融数据实验的零基础过渡。	https://pandas.pydata.org/docs/getting_started/intro_tutorials/	2026-09-11	pandas;tutorial;DataFrame
Matplotlib Tutorials	Matplotlib	Python / Jupyter实验库	金融可视化	Visualization	入门	English	87	官方教程提供从基础绘图到多图层和坐标控制的示例。	用于收益图、价格路径、风险曲线和课堂图示实验。	https://matplotlib.org/stable/tutorials/index.html	2026-09-11	Matplotlib;tutorial;plotting
statsmodels User Guide	statsmodels	Python / Jupyter实验库	金融计量 / 时间序列	Statistical Modeling	进阶	English	92	涵盖回归、时间序列、VAR、状态空间等模型，可作为金融数据建模的权威Python参考。	用于金融计量、因子模型和时间序列实验。	https://www.statsmodels.org/stable/user-guide.html	2026-09-11	statsmodels;regression;VAR;state space
statsmodels Time Series Analysis	statsmodels	Python / Jupyter实验库	金融时间序列	ARIMA / VAR / State Space	进阶	English	92	集中提供AR、VAR、ARMA和状态空间方法，适合金融预测和风险动态建模。	用于收益、利率和波动率时间序列实验。	https://www.statsmodels.org/stable/tsa	2026-09-11	statsmodels;ARIMA;VAR;time series
statsmodels Forecasting Notebook	statsmodels	Python / Jupyter实验库	预测 / 状态空间	Forecasting	进阶	English	89	官方Notebook展示状态空间预测和滚动预测流程，可直接改造成课堂实验。	用于金融时间序列预测作业和Notebook案例。	https://www.statsmodels.org/stable/examples/notebooks/generated/statespace_forecasting.html	2026-09-11	statsmodels;forecasting;notebook
ARCH Volatility Processes	arch	Python / Jupyter实验库	波动率 / 风险管理	ARCH / GARCH / EGARCH	高级	English	93	官方文档覆盖GARCH、EGARCH、FIGARCH、RiskMetrics等波动率过程，与金融风险课程直接相关。	用于波动率估计、VaR参数和模型比较实验。	https://arch.readthedocs.io/en/stable/univariate/volatility.html	2026-09-11	ARCH;GARCH;EGARCH;volatility
Plotly Financial Charts	Plotly	Python / Jupyter实验库	金融可视化	Interactive Visualization	入门	English	89	官方金融图表专题覆盖K线、OHLC、时间序列和指标图，适合Notebook交互展示。	用于金融数据可视化和实验结果展示。	https://plotly.com/python/financial-charts/	2026-09-11	Plotly;financial charts;interactive
Plotly Candlestick Charts	Plotly	Python / Jupyter实验库	行情数据	Candlestick Visualization	入门	English	86	提供K线图可执行示例，适合把OHLC行情数据与可视化结合。	用于行情数据处理和K线图实验。	https://plotly.com/python/candlestick-charts/	2026-09-11	Plotly;candlestick;OHLC
backtesting.py	backtesting.py	金融工程AI工具箱	策略回测	Backtesting	进阶	English	89	轻量级Python回测框架，API清晰，适合教学中快速建立策略—信号—交易—绩效的完整闭环。	用于均线、动量和简单策略回测实验。	https://kernc.github.io/backtesting.py/	2026-09-11	backtesting.py;strategy;backtest
backtesting.py Quick Start	backtesting.py	Python / Jupyter实验库	策略回测	Backtesting	进阶	English	89	官方快速入门以完整代码展示策略类、指标、交易和统计结果。	用于一节课内完成首个可运行回测实验。	https://kernc.github.io/backtesting.py/doc/examples/Quick%20Start%20User%20Guide.html	2026-09-11	backtesting.py;quick start;notebook
FRED Economic Data	Federal Reserve Bank of St. Louis	教学案例库	宏观金融 / 利率	Official Data	入门	English	96	权威宏观和金融时间序列数据库，适合利率、通胀、信用和宏观金融案例。	用于收益率、宏观因子、风险情景和数据实验。	https://fred.stlouisfed.org/	2026-09-11	FRED;macro data;interest rates
FRED API	Federal Reserve Bank of St. Louis	Python / Jupyter实验库	金融数据获取	API / Data Engineering	进阶	English	95	官方API支持程序化读取大量宏观和金融序列，适合训练学生建立可复现数据管线。	用于Python API、利率曲线和宏观因子实验。	https://fred.stlouisfed.org/docs/api/fred/	2026-09-11	FRED;API;data pipeline
Daily Treasury Par Yield Curve Rates	U.S. Department of the Treasury	教学案例库	固定收益 / 收益率曲线	Official Market Data	进阶	English	95	美国财政部官方每日收益率曲线数据，是固定收益定价和期限结构教学的优质真实数据。	用于零息曲线、久期、利率风险和期限结构案例。	https://home.treasury.gov/resource-center/data-chart-center/interest-rates/TextView?type=daily_treasury_yield_curve	2026-09-11	Treasury;yield curve;fixed income
EDGAR Application Programming Interfaces	U.S. Securities and Exchange Commission	Python / Jupyter实验库	公司金融 / 金融文本	API / Filings Data	进阶	English	94	SEC官方API提供公司申报和结构化财务数据，可用于财务文本与基本面数据实验。	用于公司公告、财务报表和NLP/数据工程案例。	https://www.sec.gov/search-filings/edgar-application-programming-interfaces	2026-09-11	SEC;EDGAR;API;filings
ECB Data Portal	European Central Bank	教学案例库	利率 / 货币金融	Official Data	进阶	English	94	欧洲央行官方数据门户覆盖利率、货币、银行和金融市场序列。	用于欧元区利率、宏观金融和跨市场数据案例。	https://data.ecb.europa.eu/	2026-09-11	ECB;interest rate;macro data
ECB Yield Curve Methodology	European Central Bank	教学案例库	固定收益 / 利率期限结构	Yield Curve	高级	English	93	官方解释欧元区收益率曲线的构建方法，适合连接理论期限结构与真实估计实践。	用于收益率曲线拟合、固定收益和模型假设讨论。	https://data.ecb.europa.eu/methodology/yield-curves	2026-09-11	ECB;yield curve;methodology
BIS Data Portal	Bank for International Settlements	教学案例库	全球金融 / 银行 / 衍生品	Official Data	高级	English	95	BIS官方门户提供国际银行、信贷、外汇与衍生品等跨国统计，是全球金融案例的权威来源。	用于全球金融风险、银行和衍生品市场数据案例。	https://data.bis.org/	2026-09-11	BIS;global finance;banking;derivatives
BIS Exchange-Traded Derivatives Statistics	Bank for International Settlements	教学案例库	期货 / 期权市场	Official Derivatives Data	高级	English	95	提供交易所交易衍生品统计，可用于观察全球期货期权规模、币种和市场结构。	用于衍生品市场规模、结构和跨国比较。	https://data.bis.org/topics/XTD_DER	2026-09-11	BIS;exchange-traded derivatives;futures;options
IMF Data	International Monetary Fund	教学案例库	宏观金融 / 国际金融	Official Data	进阶	English	92	IMF官方宏观金融数据库适合国际利率、汇率、资本流动和宏观风险案例。	用于国际金融背景、压力情景和跨国数据分析。	https://www.imf.org/en/data	2026-09-11	IMF;macro finance;international
Kenneth R. French Data Library	Dartmouth · Tuck School of Business	教学案例库	资产定价 / 因子模型	Factor Data	进阶	English	97	资产定价教学和研究的经典因子数据源，包含Fama–French因子及大量组合收益。	用于CAPM、多因子模型、异常收益和实证资产定价实验。	https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/Data_Library.html	2026-09-11	Fama-French;factor;asset pricing
Finance Workflows with ChatGPT Work	OpenAI Academy	AI辅助教学方法	金融分析 / 工作流	Generative AI / Agentic Workflow	进阶	English	91	展示金融团队如何将AI嵌入分析、研究和工作流，可迁移到教师的备课、数据核验和案例开发。	用于教师AI工作流培训和课堂案例演示。	https://openai.com/academy/how-finance-teams-use-codex/	2026-09-11	OpenAI;finance workflow;AI
Data Analysis with ChatGPT	OpenAI Help Center	AI辅助教学方法	数据分析 / 编程辅助	Generative AI / Data Analysis	入门	English	92	介绍利用ChatGPT处理文件、分析数据和生成图表的能力，适合教师快速建立AI数据分析工作流。	用于数据分析演示、实验辅导与结果核验规范。	https://help.openai.com/en/articles/8437071-data-analysis-with-chatgpt/	2026-09-11	ChatGPT;data analysis;charts
ChatGPT for Financial Services Solution Kit	OpenAI Academy	AI＋金融工程专题	金融服务应用	Generative AI	进阶	English	90	聚合金融服务行业的AI使用资源，便于观察真实金融工作中的研究、分析与合规场景。	用于生成式AI＋金融专题和行业案例。	https://academy.openai.com/en/public/clubs/work-users-ynjqu/resources/finserv	2026-09-11	OpenAI;financial services;solution kit
ChatGPT for Excel and Google Sheets	OpenAI Help Center	AI辅助教学方法	表格分析 / 金融建模	Spreadsheet AI	入门	English	87	将AI与电子表格分析结合，对教师的金融建模、数据检查和课堂演示具有直接实用价值。	用于表格金融模型、数据检查和教学准备。	https://help.openai.com/en/articles/20001063-chatgpt-for-excel/	2026-09-11	ChatGPT;Excel;spreadsheet
Finance Use Cases and Prompts	OpenAI Academy	AI辅助教学方法	金融分析 / Prompt	Prompt Engineering	入门	English	89	以金融场景组织AI用例和提示词，有利于形成教师可复用的Prompt模板库。	用于备课、案例、分析、反馈等Prompt模板设计。	https://academy.openai.com/en/public/clubs/work-users-ynjqu/resources/use-cases-finance	2026-09-11	OpenAI;prompt;finance use cases
